百度地图|com.baidu.BaiduMap
美团|com.sankuai.meituan
游戏中心|com.m4399.gamecenter
115|com.ylmf.androidclient
91助手连接服务|com.nd.assistance
QQ阅读|com.qq.reader
爱荳便签|com.android.hinotes
爱范儿|com.ifanr.activitys
安全隧道|id=org.sshtunnel
百度多酷游戏|com.duoku.gamesearch
百度魔图|cn.jingling.motu.photowonder
美图秀秀|com.mt.mtxx.mtxx
letv|com.letv.android.client
helloSun|com.leungswork.helloSun
lofter|com.lofter.android
FileManager|com.microdu.FileManager
microrapid|com.microrapid.flash
skydrive|com.microsoft.skydrive
mijie|com.mijie.homi
mybook66|com.mybook66
pandareader|com.nd.android.pandareader
nd.assistance|com.nd.assistance
complatform.stardemo|com.nd.complatform.stardemo
netease newsreader|com.netease.newsreader.activity
netease|wcom.netease.pris
PATH|com.path
shaishufang|com.peptalk.client.shaishufang
pinterest|com.pinterest
QDReader|com.qidian.QDReader
360appstore|com.qihoo.appstore
360|com.qiyi.video
qqreader|com.qq.reader
qvod|com.qvod.player
swnosign|com.realtool.dino.swnosign
renren|com.renren.mobile.android
rocks.moyue|com.rocks.moyue
tadu|com.tadu.android
taobao reader|com.taobao.reader
taobao|com.taobao.taobao
qqdownloader|com.tencent.android.qqdownloader
qqpimsecure|com.tencent.qqpimsecure
ting|com.ting.mp3.android
twitter|com.twitter.android
huafubao|com.umpay.huafubao
xianguo|com.xianguo.pad
xiaomi|com.xiaomi.reader
bunnyshooter001|com.xk007.bunnyshooter001
thunder|com.xunlei.thunder
yixs|com.yixs
SkiSafari|com.yodo1tier1.ido360.SkiSafari
youku|com.youku.phone
kebejdlecececee|info.ececege.kebejdlecececee
lineplay|jp.naver.lineplay.android
downloadprovider|com.xunlei.downloadprovider
searchabledict|com.example.android.searchabledict
明珠三国|com.pip.andsanguonew
BugDefenseChinese|com.cde.BugDefenseChinese
FatChickiDreamCn|com.cde.FatChickiDreamCn
pl.idreams.jellydefense|pl.idreams.jellydefense
